fid,CD_SETOR,SITUACAO,CD_SIT,CD_TIPO,AREA_KM2,CD_REGIAO,NM_REGIAO,CD_UF,NM_UF,CD_MUN,NM_MUN,CD_DIST,NM_DIST,CD_SUBDIST,NM_SUBDIST,CD_BAIRRO,NM_BAIRRO,CD_NU,NM_NU,CD_FCU,NM_FCU,CD_AGLOM,NM_AGLOM,CD_RGINT,NM_RGINT,CD_RGI,NM_RGI,CD_CONCURB,NM_CONCURB,fid_2,CNES,NOME FANTASIA,NÍVEL DE ATENÇÃO,TURNO DE ATENDIMENTO,latitude,longitude,capacidade/mes,servicos_inferidos,COBERTURA,SITUACAO_COBERTURA,fid_3,CNES_2,NOME FANTASIA_2,NÍVEL DE ATENÇÃO_2,TURNO DE ATENDIMENTO_2,latitude_2,longitude_2,capacidade/mes_2,servicos_inferidos_2,n,distance,feature_x,feature_y,nearest_x,nearest_y
1703,"211130005001986",Urbana,"1","0",0.041680327993262,"2",Nordeste,"21",Maranhão,"2111300",São Luís,"211130005",São Luís,"21113000500",,,,,,,,,,"2101",São Luís,"210001",São Luís,"2111300",São Luís/MA,1,2456834,CENTRO DE SAUDE QUEBRA POTE,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE",-2.6923404,-44.2155818,6000,"atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas",Coberto,Coberto,66,2645890,CENTRO DE SAUDE IPEM SAO CRISTOVAO,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE",-2.56838107497733,-44.2177699046536,6000,"atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas",1,701.108294052535,586805.188749928,9716772.35653339,586958.479540542,9716088.21124655
1704,"211130005001987",Urbana,"1","0",0.178726827120335,"2",Nordeste,"21",Maranhão,"2111300",São Luís,"211130005",São Luís,"21113000500",,,,,,,,,,"2101",São Luís,"210001",São Luís,"2111300",São Luís/MA,1,2456834,CENTRO DE SAUDE QUEBRA POTE,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE",-2.6923404,-44.2155818,6000,"atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas",Coberto,Coberto,26,2455803,CENTRO DE SAUDE JOAO DE DEUS,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE",-2.55908973499725,-44.2300522853364,6000,"atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas",1,902.726231603855,586041.877868789,9717899.69081933,585593.613656375,9717116.12598787
1705,"211130005001988",Urbana,"1","7",0.040079126753928,"2",Nordeste,"21",Maranhão,"2111300",São Luís,"211130005",São Luís,"21113000500",,,,,,,,,,"2101",São Luís,"210001",São Luís,"2111300",São Luís/MA,1,2456834,CENTRO DE SAUDE QUEBRA POTE,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE",-2.6923404,-44.2155818,6000,"atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas",Coberto,Coberto,26,2455803,CENTRO DE SAUDE JOAO DE DEUS,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE",-2.55908973499725,-44.2300522853364,6000,"atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas",1,999.453257492862,586267.839076426,9717853.91111708,585593.613656375,9717116.12598787
1706,"211130005001989",Urbana,"1","0",0.054728548888832,"2",Nordeste,"21",Maranhão,"2111300",São Luís,"211130005",São Luís,"21113000500",,,,,,,,,,"2101",São Luís,"210001",São Luís,"2111300",São Luís/MA,1,2456834,CENTRO DE SAUDE QUEBRA POTE,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE",-2.6923404,-44.2155818,6000,"atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas",Coberto,Coberto,66,2645890,CENTRO DE SAUDE IPEM SAO CRISTOVAO,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE",-2.56838107497733,-44.2177699046536,6000,"atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas",1,496.788189615864,586746.597324298,9716537.54901681,586958.479540542,9716088.21124655
1707,"211130005001990",Urbana,"1","0",3.06494578474123,"2",Nordeste,"21",Maranhão,"2111300",São Luís,"211130005",São Luís,"21113000500",,,,,,,,,,"2101",São Luís,"210001",São Luís,"2111300",São Luís/MA,1,2456834,CENTRO DE SAUDE QUEBRA POTE,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE",-2.6923404,-44.2155818,6000,"atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas",Coberto,Coberto,10,2881314,CLINICA DA FAMILIA MORADA DO SOL,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE",-2.64642244993202,-44.2993503878531,6000,"atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas",1,797.568352970632,577188.433225151,9707076.66691482,577884.110947867,9707466.72817127
1708,"211130005001991",Urbana,"1","4",0.041432414201673,"2",Nordeste,"21",Maranhão,"2111300",São Luís,"211130005",São Luís,"21113000500",,,,,,,,,,"2101",São Luís,"210001",São Luís,"2111300",São Luís/MA,1,2456834,CENTRO DE SAUDE QUEBRA POTE,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE",-2.6923404,-44.2155818,6000,"atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas",Coberto,Coberto,55,2310058,CLINICA DA FAMILIA DO TURU,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE",-2.50265253703976,-44.2229526651097,6000,"atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas",1,1277.19980355117,587371.693894865,9722541.37962759,586386.649541821,9723354.35377276
1709,"211130005001992",Urbana,"1","0",0.025600377807146,"2",Nordeste,"21",Maranhão,"2111300",São Luís,"211130005",São Luís,"21113000500",,,,,,,,,,"2101",São Luís,"210001",São Luís,"2111300",São Luís/MA,1,2456834,CENTRO DE SAUDE QUEBRA POTE,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE",-2.6923404,-44.2155818,6000,"atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas",Coberto,Coberto,55,2310058,CLINICA DA FAMILIA DO TURU,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE",-2.50265253703976,-44.2229526651097,6000,"atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas",1,1290.96982106151,587318.342349508,9722460.73663383,586386.649541821,9723354.35377276
1710,"211130005001993",Urbana,"2","0",1.9573719145561,"2",Nordeste,"21",Maranhão,"2111300",São Luís,"211130005",São Luís,"21113000500",,,,,,,,,,"2101",São Luís,"210001",São Luís,"2111300",São Luís/MA,1,2456834,CENTRO DE SAUDE QUEBRA POTE,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE",-2.6923404,-44.2155818,6000,"atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas",Coberto,Coberto,10,2881314,CLINICA DA FAMILIA MORADA DO SOL,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE",-2.64642244993202,-44.2993503878531,6000,"atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas",1,1364.09323291923,577577.575374801,9708795.93330613,577884.110947867,9707466.72817127
1711,"211130005001994",Urbana,"2","0",1.19777534024631,"2",Nordeste,"21",Maranhão,"2111300",São Luís,"211130005",São Luís,"21113000500",,,,,,,,,,"2101",São Luís,"210001",São Luís,"2111300",São Luís/MA,1,2456834,CENTRO DE SAUDE QUEBRA POTE,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE",-2.6923404,-44.2155818,6000,"atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas",Coberto,Coberto,44,2458721,CENTRO DE SAUDE MARACANA,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE",-2.62883349140059,-44.2894452863017,6000,"atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas",1,512.9410458829,578673.550284426,9709003.85577023,578986.326497779,9709410.4016556
1713,"211130005001996",Urbana,"1","0",0.222001072557328,"2",Nordeste,"21",Maranhão,"2111300",São Luís,"211130005",São Luís,"21113000500",,,,,,,,,,"2101",São Luís,"210001",São Luís,"2111300",São Luís/MA,1,2456834,CENTRO DE SAUDE QUEBRA POTE,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE",-2.6923404,-44.2155818,6000,"atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas",Coberto,Coberto,6,2697971,CENTRO DE SAUDE DJALMA MARQUES,AMBULATORIAL - 01 ATENCAO BASICA,"03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE",-2.52405114289164,-44.2165815325102,3000,"atenção básica; clínica geral; enfermagem",1,855.376802947037,587387.731294211,9721791.68249181,587093.572859487,9720988.47623542
