"CNES";"NOME FANTASIA";"NÍVEL DE ATENÇÃO";"NIVEL_REFERENCIA";"PESO_COMPLEXIDADE";"CAPACIDADE/MES";"CAPACIDADE_PONDERADA";"SETORES_COBERTOS";"SETORES_COM_PEQ";"SETORES_SEM_PEQ";"POPULACAO_EQUIVALENTE";"INDICE_SOBRECARGA";"latitude";"longitude";"CLASSIFICACAO"
"2310058";"CLINICA DA FAMILIA DO TURU";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"52";"50";"2";"28380.9";"4.7302";"-2.50265253703976";"-44.2229526651097";"Sobrecarregado"
"2464624";"CLINICA DA FAMILIA DO ANJO DA GUARDA";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"32";"32";"0";"25343.9";"4.2240";"-2.56475621934362";"-44.3329748540686";"Sobrecarregado"
"2455803";"CENTRO DE SAUDE JOAO DE DEUS";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"35";"34";"1";"24435.1";"4.0725";"-2.55908973499725";"-44.2300522853364";"Sobrecarregado"
"2530562";"CENTRO DE SAUDE NAZARE NEIVA";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"35";"34";"1";"23022.7";"3.8371";"-2.59624146094008";"-44.2291307043767";"Sobrecarregado"
"3376265";"CENTRO DE SAUDE VILA EMBRATEL";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"29";"29";"0";"22764.9";"3.7942";"-2.56961555025398";"-44.3098427540193";"Sobrecarregado"
"2697963";"CENTRO DE SAUDE DA LIBERDADE";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"26";"26";"0";"21664.9";"3.6108";"-2.53201347240271";"-44.2842356110737";"Sobrecarregado"
"2702878";"CENTRO DE SAUDE SANTA BARBARA";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"29";"28";"1";"19624.3";"3.2707";"-2.60337042420126";"-44.2118391973621";"Sobrecarregado"
"2309300";"CENTRO DE SAUDE SALOMAO FIQUENE";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"19";"19";"0";"18118.9";"3.0198";"-2.5385422";"-44.2031532";"Sobrecarregado"
"6120520";"CENTRO DE SAUDE JANAINA";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"23";"23";"0";"17753";"2.9588";"-2.593683";"-44.1900901";"Sobrecarregado"
"948357";"CENTRO ATENDIMENTO A PESSOA COM HIPERTENSAO E DIABETES";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"22";"22";"0";"17420";"2.9033";"-2.53200095826268";"-44.2843804260481";"Sobrecarregado"
