"CD_SETOR";"AREA_KM2";"POPULACAO";"POPULACAO_INFANTIL";"POPULACAO_IDOSA";"POPULACAO_ADULTA";"POPULACAO_EQUIVALENTE";"DENSIDADE_HAB_KM2";"RENDA_MEDIA";"SITUACAO_COBERTURA";"DISTANCIA_UBS_M";"CNES";"NOME FANTASIA";"NIVEL_REFERENCIA";"PESO_COMPLEXIDADE";"CAPACIDADE/MES";"INDICE_SOBRECARGA";"CLASSIFICACAO"
"211130005000027";"0.1014868";"1026";"48";"199.0";"779";"1209.2";"10109.689141839135";"1850.67";"Coberto";"545.38";"5992982";"CLINICA DA FAMILIA VILA MARANHAO";"II";"1.0";"6000";"2.0846";"Sobrecarregado"
"211130005000028";"0.0310249";"878";"40";"170.0";"668";"1034";"28299.849475743675";"1954.83";"Coberto";"524.15";"2876175";"CENTRO DE SAUDE BAIRRO DE FATIMA";"I";"0.8";"3000";"6.6602";"Sobrecarregado"
"211130005000029";"0.0352484";"772";"43";"161.0";"568";"922.3";"21901.70333972606";"1737.87";"Coberto";"693.5";"5992982";"CLINICA DA FAMILIA VILA MARANHAO";"II";"1.0";"6000";"2.0846";"Sobrecarregado"
"211130005000030";"0.0250014";"651";"39";"127.0";"485";"772.1";"26038.54184165687";"1758.06";"Coberto";"540.1";"2876175";"CENTRO DE SAUDE BAIRRO DE FATIMA";"I";"0.8";"3000";"6.6602";"Sobrecarregado"
"211130005000031";"0.0494443";"851";"49";"180.0";"622";"1019.5";"17211.286235218216";"1945.2";"Coberto";"860.95";"5992982";"CLINICA DA FAMILIA VILA MARANHAO";"II";"1.0";"6000";"2.0846";"Sobrecarregado"
"211130005000032";"0.0549222";"831";"43";"141.0";"647";"965.3";"15130.493680151196";"1523.01";"Coberto";"759.1";"2876175";"CENTRO DE SAUDE BAIRRO DE FATIMA";"I";"0.8";"3000";"6.6602";"Sobrecarregado"
"211130005000033";"0.0346154";"593";"29";"132.0";"432";"713.1";"17131.103497287335";"5361.32";"Coberto";"492.66";"2876175";"CENTRO DE SAUDE BAIRRO DE FATIMA";"I";"0.8";"3000";"6.6602";"Sobrecarregado"
"211130005000036";"0.0320527";"690";"32";"153.0";"505";"828.4";"21527.047643412254";"2157.65";"Coberto";"569.47";"2876175";"CENTRO DE SAUDE BAIRRO DE FATIMA";"I";"0.8";"3000";"6.6602";"Sobrecarregado"
"211130005000037";"0.0377285";"575";"19";"141.0";"415";"697.3";"15240.468081158806";"2255.97";"Coberto";"342.14";"2876175";"CENTRO DE SAUDE BAIRRO DE FATIMA";"I";"0.8";"3000";"6.6602";"Sobrecarregado"
"211130005000038";"0.094866";"794";"41";"165.0";"588";"946.5";"8369.700419539138";"2541.54";"Coberto";"504.43";"2876175";"CENTRO DE SAUDE BAIRRO DE FATIMA";"I";"0.8";"3000";"6.6602";"Sobrecarregado"
"211130005000039";"0.0880768";"496";"10";"116.0";"370";"593.8";"5631.448917308531";"3028.53";"Coberto";"413.13";"948357";"CENTRO ATENDIMENTO A PESSOA COM HIPERTENSAO E DIABETES";"II";"1.0";"6000";"2.9033";"Sobrecarregado"
"211130005000040";"0.0688576";"727";"34";"169.0";"524";"879.2";"10558.021191560552";"3253.24";"Coberto";"347.09";"948357";"CENTRO ATENDIMENTO A PESSOA COM HIPERTENSAO E DIABETES";"II";"1.0";"6000";"2.9033";"Sobrecarregado"
"211130005000041";"0.0812494";"727";"29";"112.0";"586";"831.1";"8947.758383446524";"1537.02";"Coberto";"1022.81";"929417";"CLINICA DA FAMILIA DO CENTRO";"II";"1.0";"6000";"0.8770";"Adequado"
"211130005000042";"0.0445458";"1044";"64";"153.0";"827";"1198.4";"23436.552941018006";"1436.54";"Coberto";"789.78";"948357";"CENTRO ATENDIMENTO A PESSOA COM HIPERTENSAO E DIABETES";"II";"1.0";"6000";"2.9033";"Sobrecarregado"
"211130005000043";"0.0328303";"740";"31";"116.0";"593";"848.3";"22540.1534558015";"1459.44";"Coberto";"753.97";"948357";"CENTRO ATENDIMENTO A PESSOA COM HIPERTENSAO E DIABETES";"II";"1.0";"6000";"2.9033";"Sobrecarregado"
"211130005000044";"0.0320263";"895";"58";"128.0";"709";"1026.4";"27945.782060369133";"1267.89";"Coberto";"833.6";"948357";"CENTRO ATENDIMENTO A PESSOA COM HIPERTENSAO E DIABETES";"II";"1.0";"6000";"2.9033";"Sobrecarregado"
"211130005000045";"0.0168528";"409";"26";"54.0";"329";"465.2";"24268.96420772809";"1501.54";"Coberto";"882.74";"948357";"CENTRO ATENDIMENTO A PESSOA COM HIPERTENSAO E DIABETES";"II";"1.0";"6000";"2.9033";"Sobrecarregado"
"211130005000046";"0.0357878";"500";"20";"114.0";"366";"601.2";"13971.24159629818";"1917.83";"Coberto";"734.52";"948357";"CENTRO ATENDIMENTO A PESSOA COM HIPERTENSAO E DIABETES";"II";"1.0";"6000";"2.9033";"Sobrecarregado"
"211130005000047";"0.1076515";"152";"9";"21.0";"122";"173.3";"1411.96360478024";"1392.59";"Coberto";"1065.08";"948357";"CENTRO ATENDIMENTO A PESSOA COM HIPERTENSAO E DIABETES";"II";"1.0";"6000";"2.9033";"Sobrecarregado"
"211130005000048";"0.0368036";"915";"37";"154.0";"724";"1056.7";"24861.69831212164";"1613.4";"Coberto";"725.14";"948357";"CENTRO ATENDIMENTO A PESSOA COM HIPERTENSAO E DIABETES";"II";"1.0";"6000";"2.9033";"Sobrecarregado"
"211130005000049";"0.0329752";"871";"44";"119.0";"708";"988.2";"26413.789757150826";"1487.81";"Coberto";"718.78";"2697963";"CENTRO DE SAUDE DA LIBERDADE";"II";"1.0";"6000";"3.6108";"Sobrecarregado"
"211130005000050";"0.0367841";"986";"71";"167.0";"748";"1155.1";"26805.059794857018";"1517.09";"Coberto";"651.37";"948357";"CENTRO ATENDIMENTO A PESSOA COM HIPERTENSAO E DIABETES";"II";"1.0";"6000";"2.9033";"Sobrecarregado"
"211130005000051";"0.0259893";"714";"41";"120.0";"553";"830.5";"27472.844593736652";"1581.58";"Coberto";"559.93";"948357";"CENTRO ATENDIMENTO A PESSOA COM HIPERTENSAO E DIABETES";"II";"1.0";"6000";"2.9033";"Sobrecarregado"
"211130005000052";"0.0287854";"851";"41";"145.0";"665";"987.5";"29563.59821298297";"1418.73";"Coberto";"531.83";"948357";"CENTRO ATENDIMENTO A PESSOA COM HIPERTENSAO E DIABETES";"II";"1.0";"6000";"2.9033";"Sobrecarregado"
"211130005000053";"0.0168843";"545";"36";"90.0";"419";"635";"32278.50725229947";"1313.88";"Coberto";"317.62";"948357";"CENTRO ATENDIMENTO A PESSOA COM HIPERTENSAO E DIABETES";"II";"1.0";"6000";"2.9033";"Sobrecarregado"
"211130005000054";"0.0465222";"984";"44";"162.0";"778";"1135.6";"21151.192333982486";"1806.42";"Coberto";"515.16";"948357";"CENTRO ATENDIMENTO A PESSOA COM HIPERTENSAO E DIABETES";"II";"1.0";"6000";"2.9033";"Sobrecarregado"
"211130005000055";"0.0493335";"923";"38";"164.0";"721";"1073.2";"18709.39625203969";"1856.61";"Coberto";"414.6";"948357";"CENTRO ATENDIMENTO A PESSOA COM HIPERTENSAO E DIABETES";"II";"1.0";"6000";"2.9033";"Sobrecarregado"
"211130005000056";"0.0825245";"826";"38";"144.0";"644";"960.2";"10009.148798235676";"1849.12";"Coberto";"155.29";"948357";"CENTRO ATENDIMENTO A PESSOA COM HIPERTENSAO E DIABETES";"II";"1.0";"6000";"2.9033";"Sobrecarregado"
"211130005000057";"0.0254577";"691";"29";"111.0";"551";"794.3";"27143.064770187408";"1417.61";"Coberto";"709.03";"2697963";"CENTRO DE SAUDE DA LIBERDADE";"II";"1.0";"6000";"3.6108";"Sobrecarregado"
"211130005000058";"0.0869188";"824";"52";"115.0";"657";"942";"9480.112472790695";"1329.82";"Coberto";"875.47";"2697963";"CENTRO DE SAUDE DA LIBERDADE";"II";"1.0";"6000";"3.6108";"Sobrecarregado"
"211130005000059";"0.0473833";"810";"48";"133.0";"629";"940.4";"17094.63038665521";"1466.91";"Coberto";"749.78";"2697963";"CENTRO DE SAUDE DA LIBERDADE";"II";"1.0";"6000";"3.6108";"Sobrecarregado"
"211130005000060";"0.0416698";"925";"53";"144.0";"728";"1066.7";"22198.330685532448";"1688.13";"Coberto";"474.02";"2697963";"CENTRO DE SAUDE DA LIBERDADE";"II";"1.0";"6000";"3.6108";"Sobrecarregado"
"211130005000061";"0.0397865";"753";"31";"120.0";"602";"864.5";"18926.017619041635";"1444.29";"Coberto";"411.56";"2697963";"CENTRO DE SAUDE DA LIBERDADE";"II";"1.0";"6000";"3.6108";"Sobrecarregado"
"211130005000062";"0.0658754";"920";"38";"165.0";"717";"1071";"13965.759600700716";"1836.06";"Coberto";"34.85";"2697963";"CENTRO DE SAUDE DA LIBERDADE";"II";"1.0";"6000";"3.6108";"Sobrecarregado"
