"CNES";"NOME FANTASIA";"NÍVEL DE ATENÇÃO";"NIVEL_REFERENCIA";"PESO_COMPLEXIDADE";"CAPACIDADE/MES";"CAPACIDADE_PONDERADA";"SETORES_COBERTOS";"SETORES_COM_PEQ";"SETORES_SEM_PEQ";"POPULACAO_EQUIVALENTE";"INDICE_SOBRECARGA";"CLASSIFICACAO";"latitude";"longitude"
"2310058";"CLINICA DA FAMILIA DO TURU";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"53";"51";"2";"28380.9";"4.7302";"Sobrecarregado";"-2.5026525370397623";"-44.22295266510974"
"2464624";"CLINICA DA FAMILIA DO ANJO DA GUARDA";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"32";"32";"0";"25343.9";"4.2240";"Sobrecarregado";"-2.5647562193436158";"-44.33297485406862"
"2455803";"CENTRO DE SAUDE JOAO DE DEUS";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"36";"35";"1";"24435.1";"4.0725";"Sobrecarregado";"-2.5590897349972486";"-44.23005228533638"
"2530562";"CENTRO DE SAUDE NAZARE NEIVA";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"35";"34";"1";"23022.7";"3.8371";"Sobrecarregado";"-2.5962414609400812";"-44.22913070437666"
"3376265";"CENTRO DE SAUDE VILA EMBRATEL";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"29";"29";"0";"22764.9";"3.7942";"Sobrecarregado";"-2.569615550253985";"-44.30984275401932"
"2697963";"CENTRO DE SAUDE DA LIBERDADE";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"26";"26";"0";"21664.9";"3.6108";"Sobrecarregado";"-2.532013472402714";"-44.284235611073655"
"2702878";"CENTRO DE SAUDE SANTA BARBARA";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"29";"28";"1";"19624.3";"3.2707";"Sobrecarregado";"-2.60337042420126";"-44.2118391973621"
"2309300";"CENTRO DE SAUDE SALOMAO FIQUENE";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"19";"19";"0";"18118.9";"3.0198";"Sobrecarregado";"-2.5385422";"-44.2031532"
"6120520";"CENTRO DE SAUDE JANAINA";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"23";"23";"0";"17753";"2.9588";"Sobrecarregado";"-2.593683";"-44.1900901"
"948357";"CENTRO ATENDIMENTO A PESSOA COM HIPERTENSAO E DIABETES";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"22";"22";"0";"17420";"2.9033";"Sobrecarregado";"-2.5320009582626817";"-44.284380426048145"
"3173828";"CENTRO DE SAUDE FABICIANA DE MORAES";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"18";"18";"0";"15025.2";"2.5042";"Sobrecarregado";"-2.5870659296069776";"-44.206653517522724"
"2645769";"UNIDADE DE SAUDE DA FAMILIA VILA SARNEY";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"23";"23";"0";"14776.4";"2.4627";"Sobrecarregado";"-2.633672577761528";"-44.27067144564561"
"2645866";"CENTRO DE SAUDE COQUEIRO";"AMBULATORIAL - 01 ATENCAO BASICA";"I";"0.8";"3000";"2400";"11";"10";"1";"5711";"2.3796";"Sobrecarregado";"-2.7276744859525066";"-44.35952201125836"
"2309289";"CENTRO DE SAUDE COHAB ANIL";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"21";"21";"0";"13689.2";"2.2815";"Sobrecarregado";"-2.5349738537756337";"-44.217061749084834"
"2645785";"CENTRO DE SAUDE MARIA AYRECILA CIDADE OLIMPICA II";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"19";"19";"0";"13478.4";"2.2464";"Sobrecarregado";"-2.594009468306554";"-44.17993899166727"
"2645815";"UNIDADE DE SAUDE DA FAMILIA PIRAPORA";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"24";"21";"3";"13239.3";"2.2066";"Sobrecarregado";"-2.5591946597214275";"-44.23850729042951"
"2881314";"CLINICA DA FAMILIA MORADA DO SOL";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"22";"21";"1";"12737.9";"2.1230";"Sobrecarregado";"-2.646422449932016";"-44.29935038785313"
"5992982";"CLINICA DA FAMILIA VILA MARANHAO";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"16";"16";"0";"12507.4";"2.0846";"Sobrecarregado";"-2.53599";"-44.2972982"
"2645777";"UNIDADE DE SAUDE DA FAMILIA SANTA CLARA";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"15";"15";"0";"12507.4";"2.0846";"Sobrecarregado";"-2.5961219508164115";"-44.1986014700842"
"2698005";"CENTRO DE SAUDE DR JOSE RIBAMAR FRAZAO CORREA";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"19";"18";"1";"11353.4";"1.8922";"Sobrecarregado";"-2.6422066246014846";"-44.27605244740161"
"7261136";"CENTRO DE SAUDE COQUILHO";"AMBULATORIAL - 01 ATENCAO BASICA";"I";"0.8";"3000";"2400";"9";"9";"0";"4366";"1.8192";"Sobrecarregado";"-2.6666776926751954";"-44.18716860704473"
"3173852";"UNIDADE DE SAUDE DA FAMILIA DO SAO FRANCISCO";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"17";"17";"0";"10521.1";"1.7535";"Sobrecarregado";"-2.514025469438862";"-44.29918743479592"
"3827402";"CENTRO DE SAUDE GAPARA";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"15";"13";"2";"10000.3";"1.6667";"Sobrecarregado";"-2.5891820233812384";"-44.30337128426681"
"2645793";"U S F ANTONIO CARLOS SOUSA REIS OLIMPICA I";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"10";"10";"0";"8684.3";"1.4474";"Sobrecarregado";"-2.597464779977909";"-44.187282353155396"
