CD_SETOR;AREA_KM2;POPULAÇÃO;POPULAÇÃO INFANTIL;POPULAÇÃO IDOSA;DENSIDADE POPULACIONAL (hab/KM²)
211130005000113;0.0683907;820;56;117.0;11989.934303933138
211130005000114;0.0920387;685;22;148.0;7442.521461081045
211130005000116;0.049636;818;37;154.0;16479.97421226529
211130005000118;0.0680599;641;32;95.0;9418.174284710967
211130005000119;0.0477093;860;54;103.0;18025.835633723404
211130005000120;0.0923552;766;30;124.0;8294.064654724369
211130005000121;0.0822474;584;16;126.0;7100.528405761155
211130005000122;0.0468134;535;19;112.0;11428.351711262161
211130005000123;0.0394643;658;28;118.0;16673.297131838142
211130005000124;0.0834084;980;62;128.0;11749.416125953741
211130005000125;0.1740127;721;33;118.0;4143.375742115374
211130005000126;0.0673532;943;35;146.0;14000.819560169375
211130005000127;0.0484596;1006;52;174.0;20759.560541151805
211130005000128;0.086693;692;28;153.0;7982.190026876448
211130005000129;0.0824834;798;36;149.0;9674.673934391647
211130005000130;0.0545208;87;7;;1595.7212660122375
211130005000132;0.0559027;644;50;84.0;11520.016027848387
211130005000133;0.0521957;1035;60;146.0;19829.21964836184
211130005000134;0.062057;268;11;61.0;4318.610309876404
211130005000135;0.119675;508;23;135.0;4244.829747232086
211130005000137;0.029326;673;46;107.0;22948.919047943804
211130005000138;0.0447756;920;57;149.0;20546.905010764793
211130005000139;0.0360804;907;50;97.0;25138.302236117117
211130005000140;0.0390386;755;54;74.0;19339.83288335135
211130005000143;0.0810767;202;13;26.0;2491.4679556518704
211130005000146;0.1596068;983;66;103.0;6158.885461020458
211130005000147;0.0515737;732;39;112.0;14193.280683759358
211130005000149;0.056021;536;27;108.0;9567.840631191873
211130005000150;0.0545581;457;25;107.0;8376.391406592238
211130005000151;0.1666951;543;13;214.0;3257.444280005831
211130005000152;0.5514162;615;34;120.0;1115.3099963330783
211130005000153;0.143267;553;35;79.0;3859.925872671306
211130005000154;0.1092708;322;12;82.0;2946.8073812949115
211130005000155;0.0711567;445;12;122.0;6253.803225838185
211130005000156;0.1302931;465;10;129.0;3568.8766327610597
211130005000157;0.0981217;548;19;143.0;5584.9011992250435
211130005000158;0.9182095;470;18;111.0;511.86575612646135
211130005000160;0.1653797;508;22;124.0;3071.719201328821
211130005000161;0.2320612;88;8;18.0;379.2103117625868
211130005000162;0.0956219;511;22;128.0;5343.9640919078165
211130005000163;0.0337766;782;39;189.0;23152.123067449065
211130005000164;0.069062;794;33;148.0;11496.91581477513
211130005000165;0.945661;353;18;50.0;373.2838723390306
211130005000167;0.1638827;484;24;108.0;2953.3318648033014
211130005000169;0.0578355;965;49;183.0;16685.25386656984
211130005000170;0.4217607;397;11;148.0;941.2920644336943
211130005000171;1.7376575;235;7;52.0;135.23953943743228
211130005000172;0.0300011;651;32;92.0;21699.20436250671
211130005000173;0.0496582;450;19;57.0;9061.947472924914
211130005000174;0.1176778;397;10;48.0;3373.6184734928765
211130005000175;1.1780959;989;75;85.0;839.4902316526185
211130005000176;0.1286031;727;22;262.0;5653.051909324115
211130005000177;0.2244444;505;17;121.0;2250.000445544643
211130005000178;0.0826642;604;26;143.0;7306.669634497159
211130005000179;0.1349817;717;42;77.0;5311.831159334932
211130005000180;0.0610602;580;27;110.0;9498.822473558881
211130005000181;0.2441289;743;18;159.0;3043.474164672843
211130005000183;0.5853918;872;41;158.0;1489.6006401182933
211130005000184;0.080583;663;27;98.0;8227.541789211124
